english,twi,type
I,me,word
you,wo,word
me,me,word
love,dɔ,word
loves,dɔ,word
hate,kyi,word
like,pɛ,word
dogs,akraman,word
dog,ɔkraman,word
good,papa,word
bad,bɔne,word
nice,fɛ,word
how,sɛn,word
are,te,word
is,ne,word
am,,word
what,dɛn,word
where,he,word
your,wo,word
my,me,word
name,din,word
going,rekɔ,word
go,kɔ,word
to,,word
at,wɔ,word
in,mu,word
on,so,word
the,,word
a,,word
an,,word
market,dwam,word
home,efie,word
school,sukuu,word
food,aduane,word
water,nsu,word
house,dan,word
person,onipa,word
people,nnipa,word
bank,sikakorabea,word
hospital,ayaresabea,word
church,asɔrefie,word
mosque,nkramoguafie,word
met,hyiaa,word
work,yɛ adwuma,word
visited,kɔsraa,word
live,te,word
lives,te,word
Accra,Nkran,word
Kumasi,Kumas,word
Ghana,Gaana,word
Tamale,Tamale,word
Cape Coast,Oguaa,word
Tema,Tɛma,word
Takoradi,Takoradi,word
Sunyani,Sunyani,word
Koforidua,Kofodua,word
Ho,Ho,word
able,tumi,word
about,fa ho,word
accepted,gyee tom,word
admire,kamfo,word
admired,kamfoo,word
adopted,gyee,word
afternoon,awia,word
again,bio,word
aggressive,basabasa,word
agree,pene so,word
agreed,penee so,word
alone,nko ara,word
always,daa,word
and,ne,word
angry,bo fuw,word
any,bi,word
anything,biribiara,word
appreciate,da ase,word
arrive,duru,word
arrived,duruu,word
ask,bisa,word
attractive,fɛ,word
available,wɔ hɔ,word
avoids,kwati,word
be,yɛ,word
beautiful,fɛfɛ,word
began,hyɛɛ ase,word
believe,gye di,word
better,papa,word
big,kɛse,word
bird,anomaa,word
birthday,awoda,word
blue,bibire,word
book,nhoma,word
books,nhoma,word
born,woo,word
both,baanu,word
boy,abarimaa,word
brave,akokɔduru,word
broke,bubuu,word
brother,onua,word
built,sii,word
busy,adwuma pii,word
buy,tɔ,word
bye,nante yie,word
came,baa,word
can,tumi,word
can't,ntumi,word
care,hwɛ,word
careful,hwɛ yie,word
change,sesa,word
cheap,nni bo,word
check,hwɛ,word
christmas,bronya,word
close,to,word
come,bra,word
comes,ba,word
coming,reba,word
complaining,nwiinwii,word
compliment,kamfo,word
congratulations,ayɛyie,word
cook,noa,word
correct,teɛ,word
could,tumi,word
crazy,abɔdamfo,word
cry,su,word
crying,resu,word
dance,sa,word
danger,asiane,word
daughter,ɔbabea,word
